David Cornell
Darron Gibson
Moussa Sissoko
Valentin Roberge
Danny Graham
Mike Williamson
Érik Lamela
Mark Noble
Mark Schwarzer
Kieran Richardson
Jerome Sinclair
Sebastian Larsson
Fraizer Campbell
Joe Williams
Jonás Gutiérrez
Jake Gray
Michael Dawson
Aiden McGeady
Marcin Wasilewski
Massadio Haidara
Thomas Sörensen
Marouane Chamakh
Ashley Young
Carles Gil
Lewis Price
Jack Cork
Lubomir Satka
Leighton Baines
Marnick Vermijl
Jack Rose
Kevin Nolan
Steven Pienaar
Kelvin Davis
Mitchell Beeney
Calum Chambers
Jason Puncheon
Reece Burke
Riyad Mahrez
Ashley Williams
Craig Gardner
Nacer Chadli
Joe Hart
Sheyi Ojo
Eden Hazard
Danny Drinkwater
Luke Shaw
Curtis Davies
Chris Baird
Emmanuel Rivière
Falcao
Kolo Touré
Jores Okore
Jake Livermore
Matty James
Anthony Knockaert
Brendan Galloway
George Boyd
Joe Ledley
Cristian Ceballos
Angelino
Mathieu Debuchy
Kenji Gorré
Suso
Joe Cole
Adam Thomas
Brad Guzan
Marvin Sordell
Courtney Duffus
Gaël Bigirimana
Kurt Zouma
Rickie Lambert
Tyler Roberts
Jamie Ness
Facundo Ferreyra
Leon Britton
Javier Manquillo
Wilson Palacios
Matija Nastasic
Darren Bent
Nedum Onuoha
Saido Berahino
Samir Nasri
Jonjoe Kenny
David Nugent
Elliot Lee
Ravel Morrison
Geoff Cameron
Dwight Gayle
Kasper Schmeichel
Paulinho
Lewis Holtby
Morgan Schneiderlin
Arouna Koné
Jay Rodríguez
Marcos Rojo
Liam Agnew
Barry Bannan
Adel Taarabt
Lukasz Fabianski
Didier Drogba
Leandro Bacuna
Brad Friedel
Shay Given
John Lundstram
Adlène Guédioura
Riccardo Calder
Wojciech Szczesny
Ross Barkley
Eldin Jakupovic
Bryan Oviedo
Graham Dorrans
Connor Wickham
Morgan Amalfitano
Fredrik Ulvestad
Rolando Aarons
James Pearson
Sam McQueen
Francis Coquelin
Christian Benteke
Seamus Coleman
Santi Cazorla
Joe Allen
Ben Mee
Bongani Khumalo
Alberto Moreno
Tony Hibbert
Joel Ward
Alan Tate
